ÖZEL KEÇİÖREN SINAV ANADOLU LİSESİ;3
ÖZEL MATFEN EMRE KARATAŞ ANADOLU LİSESİ;3
ÖZEL YILDIZ SINAV ANADOLU LİSESİ;4
SINAV KOLEJİ ÖZEL ANKARA FEN LİSESİ;6
TED ESKİŞEHİR KOLEJİ ÖZEL ANADOLU LİSESİ;7
YAVUZ SULTAN SELİM ANADOLU LİSESİ;2
BORSA İSTANBUL FEN LİSESİ;1
BURSA ERKEK LİSESİ;1
ÇORLU BORSA İSTANBUL FEN LİSESİ;3
NAZİLLİ FEN LİSESİ;4
ÖZEL ALTINDAĞ FİNAL AKADEMİ ANADOLU LİSESİ;2
ÖZEL DARUŞŞAFAKA LİSESİ;1
TOFAŞ FEN LİSESİ;6
AZİZ ATİK FEN LİSESİ;2
HATAY FEN LİSESİ;3
HÜSEYİN GİRENES FEN LİSESİ;5
KASTAMONU FEN LİSESİ;3
KONYA- MERAM FEN LİSESİ;4
ÖZEL BEYSUKENT ANADOLU LİSESİ;11
ÖZEL BORNOVA TÜRK FEN LİSESİ;1
ÖZEL ÇUKURAMBAR DOĞA FEN VE TEKNOLOJİ LİSESİ;2
ÖZEL ERYAMAN BİLİM DOĞA ANADOLU LİSESİ;5
ÖZEL GÜNDOĞDU FEN LİSESİ;2
ÖZEL JALE TEZER BİLİM FEN ANADOLU LİSESİ;5
ÖZEL KOCAELİ NESİBE AYDIN FEN LİSESİ;2
ÖZEL MEHMET ZEKİ DERMAN ANADOLU LİSESİ;5
ÖZEL NESİBE AYDIN ANADOLU LİSESİ;13
ÖZEL NESİBE AYDIN YILDIZLAR ANADOLU LİSESİ;15
ÖZEL ÖZ EVLER KAMPÜS ANADOLU LİSESİ;2
ÖZEL SAKARYA YANKI KOLEJİ ANADOLU LİSESİ;2
ÖZEL SEMBOL ANADOLU LİSESİ;10
ÜMİTKÖY ANADOLU LİSESİ;3
ÇANKIRI TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ;2
GAZİ ANADOLU LİSESİ;14
İHSAN DOĞRAMACI VAKFI ÖZEL BİLKENT LABORATUAR LİSESİ;36
ÖZEL BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ;1
İZMİR FEN LİSESİ;6
KÖY HİZMETLERİ ANADOLU LİSESİ;2
ÖZEL ADANA FEN LİSESİ;2
ÖZEL BİLFEN ANTALYA FEN LİSESİ;1
ÖZEL ÇAĞLAYAN ERKEK FEN LİSESİ;8
ÖZEL ÇORUM BİLGİ ANADOLU LİSESİ;3
ÖZEL EVRENSEL KOLEJ;2
15 TEMMUZ ŞEHİTLER ANADOLU LİSESİ;2
ÖZEL GAZİANTEP NESİBE AYDIN FEN LİSESİ;1
ÖZEL GÜLEÇ ABC ANADOLU LİSESİ;2
ÖZEL KARABÜK BAHÇEŞEHİR KOLEJİ FEN LİSESİ;2
ÖZEL MUSTAFA KEMAL FİNAL ANADOLU LİSESİ;7
ÖZEL ORDU BAHÇEŞEHİR KOLEJİ FEN LİSESİ;2
ÖZEL SAMSUN BAHÇEŞEHİR KOLEJİ ATAKUM FEN VE TEKNOLOJİ LİSESİ;3
ADANA FEN LİSESİ;4
ANKARA PURSAKLAR FEN LİSESİ;8
GALATASARAY ÜNİVERSİTESİ GALATASARAY LİSESİ;1
HAYDARPAŞA LİSESİ;4
KIRIKKALE FEN LİSESİ;3
KÜTAHYA NAFİ GÜRAL FEN LİSESİ;1
ÖDEMİŞ AYHAN KÖKMEN FEN LİSESİ;1
ÖZEL BORNOVA FEN LİSESİ;2
ÖZEL ÇUBUK HEDEFİM ANADOLU LİSESİ;1
ÖZEL DİLTAŞ ANADOLU LİSESİ;10
ÖZEL ERYAMAN SEVGİ FEN LİSESİ;4
ÖZEL İNTEGRAL ANADOLU LİSESİ;1
ÖZEL KAYSERİ TEKDEN FEN LİSESİ;3
ÖZEL ORDU ÜNYE FİNAL AKADEMİ FEN LİSESİ;2
ADANA ANADOLU LİSESİ;4
PROF.DR.İLHAN KILIÇÖZLÜ FEN LİSESİ;4
SEYHAN BORSA İSTANBUL FEN LİSESİ;3
ŞEHİT OĞUZHAN YAŞAR ANADOLU LİSESİ;8
TED KARADENİZ EREĞLİ KOLEJİ VAKFI ÖZEL LİSESİ;6
VEHBİ DİNÇERLER FEN LİSESİ;6
YAŞAR ACAR FEN LİSESİ;1
ERZURUM İBRAHİM HAKKI FEN LİSESİ;1
DR.BİNNAZ EGE-DR.RIDVAN EGE ANADOLU LİSESİ;3
GAZİANTEP KOLEJİ VAKFI ÖZEL FEN LİSESİ;2
KEÇİÖREN VATANSEVER ŞEHİT TÜMGENERAL AYDOĞAN AYDIN FEN LİSESİ;2
MED MARİNE TUNCER ŞEN FEN LİSESİ;1
NİĞDE FEN LİSESİ;1
ÖZEL ANTALYA RENK FEN LİSESİ;1
ÖZEL BAĞLICA FİNAL AKADEMİ FEN LİSESİ;1
ÖZEL BAHÇEŞEHİR FEN LİSESİ;2
ÖZEL BAHÇEŞEHİR KOLEJİ KUZEY KAMPÜSÜ FEN LİSESİ;1
ANKARA ATATÜRK LİSESİ;10
ÖZEL BATMAN FİNAL FEN LİSESİ;1
ÖZEL BEŞGEN ANADOLU LİSESİ;2
ÖZEL ÇAKABEY LİSESİ;2
ÖZEL EMİNE ÖRNEK FEN LİSESİ;3
ÖZEL EVRENSEL FEN LİSESİ;2
ÖZEL İZMİR TÜRK KOLEJİ FEN LİSESİ;1
ÖZEL SEVGİ FEN LİSESİ;12
ÖZEL ŞENTEPE FİNAL AKADEMİ ANADOLU LİSESİ;2
ÖZEL TÜRK FEN LİSESİ;6
ÖZEL ÜÇFEN ANADOLU LİSESİ;4
ÖZEL ÜSKÜDAR AMERİKAN LİSESİ;2
ASELSAN MESLEKİ VE TEKNİK ANADOLU LİSESİ;1
ÖZEL YÜCE FEN LİSESİ;2
ÖZKENT AKBİLEK FEN LİSESİ;2
TED KARABÜK KOLEJİ VAKFI ÖZEL ANADOLU LİSESİ;4
AYRANCI ANADOLU LİSESİ;5
CAĞALOĞLU ANADOLU LİSESİ;1
MANİSA TOBB BÜLENT KOŞMAZ FEN LİSESİ;3
NAMIK KARAMANCI FEN LİSESİ;2
ÖZEL ALTINYILDIZ FEN LİSESİ;1
ÖZEL AMERİKAN ROBERT LİSESİ;3
ÖZEL ANKARA ABC FEN LİSESİ;3
ÖZEL ARI ANADOLU LİSESİ;14
ÖZEL BAHÇELİEVLER SINAV ANADOLU LİSESİ;1
ÖZEL BAŞARFEN KOLEJİ ANADOLU LİSESİ;1
ÖZEL ÇORLU BAHÇEŞEHİR ANADOLU LİSESİ;2
ÖZEL GEBZE BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ;2
ÖZEL MATFEN ANADOLU LİSESİ;7
ÖZEL YENİ YOL FEN LİSESİ;1
ÖZEL YÜKSELEN KOLEJİ FEN LİSESİ;2
SAMSUN GARİP ZEYCAN YILDIRIM FEN LİSESİ;3
SÜLEYMAN DEMİREL FEN LİSESİ;2
ŞEHİT TURGUT SOLAK FEN LİSESİ;1
ANKARA ÜNİVERSİTESİ GELİŞTİRME VAKFI ÖZEL FEN LİSESİ;4
ERCAN AKIN FEN LİSESİ;1
KAYA KARAKAYA FEN LİSESİ;2
MALATYA FETHİ GEMUHLUOĞLU FEN LİSESİ;1
MANİSA FEN LİSESİ;1
MUSTAFA HAKAN GÜVENÇER FEN LİSESİ;1
NİLÜFER BORSA İSTANBUL FEN LİSESİ;1
ÖZEL ARİTMETİK KOLEJİ FEN LİSESİ;1
ÖZEL BATIKENT ORTADOĞULULAR ANADOLU LİSESİ;1
ÖZEL KARİYER KOLEJİ FEN LİSESİ;2
ÖZEL MUŞ SEÇKİN İZ FEN LİSESİ;1
ÖZEL SALİHLİ BAHÇEŞEHİR KOLEJİ FEN LİSESİ;1
ÖZEL SANKO FEN VE TEKNOLOJİ LİSESİ;2
RİZE TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ;1
SAKARYA CEVAT AYHAN FEN LİSESİ;5
ŞEHZADELER GEDİZ ANADOLU LİSESİ;1
YÜCEL BORU FEN LİSESİ;1
ZONGULDAK FEN LİSESİ;3
BUCAK ADEM TOLUNAY FEN LİSESİ;2
HASAN SABRİ ÇAVUŞOĞLU FEN LİSESİ;1
İRFANLI ANADOLU LİSESİ;1
KARABÜK MEHMET VERGİLİ FEN LİSESİ;2
MALATYA ANADOLU LİSESİ;1
MALTEPE FEN LİSESİ;1
ÖZEL AKIN ERTÜRK FEN LİSESİ;1
ÖZEL BEŞTEPE ANADOLU LİSESİ;12
ÖZEL BEYLİKDÜZÜ AÇI ANADOLU LİSESİ;1
ÖZEL BİLFEN ÇAYYOLU FEN LİSESİ;12
ÖZEL BİLFEN KAYSERİ FEN LİSESİ;3
ÖZEL BİLİM KAMPÜS ANADOLU LİSESİ;1
ÖZEL BİLNET OKULLARI KARŞIYAKA FEN LİSESİ;1
ÖZEL ÇAĞLAYAN KIZ FEN LİSESİ;4
ALAŞEHİR FEN LİSESİ;1
ÖZEL ÇINAR FEN LİSESİ;1
ÖZEL LÜLEBURGAZ BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ;1
ÖZEL MANAVGAT BAHÇEŞEHİR KOLEJİ FEN LİSESİ;2
ÖZEL MOZAİK ANADOLU LİSESİ;1
ÖZEL MUĞLA TEKNOLOJİ VE KÜLTÜR FEN LİSESİ;2
ÖZEL ORDU FİNAL FEN LİSESİ;1
ÖZEL OYA AKIN YILDIZLAR FEN LİSESİ;2
ÖZEL P.E.V. AMİROĞLU FEN LİSESİ;1
ÖZEL RİZE BAHÇEŞEHİR KOLEJİ FEN LİSESİ;1
ÖZEL SEVGİ ANADOLU LİSESİ;10
ÖZEL TAKEV ANADOLU LİSESİ;2
ÖZEL YENİMAHALLE FİNAL ANADOLU LİSESİ;1
SELÇUKLU FEN LİSESİ;1
SİLİFKE FEN LİSESİ;2
ŞEHİT MUHSİN KİREMİTÇİ FEN LİSESİ;1
ŞEHİT SERCAN ÖZTÜRK ANADOLU LİSESİ;5
VALİDEBAĞ FEN LİSESİ;2
GAZİ ÜNİVERSİTESİ VAKFI ÖZEL ANADOLU LİSESİ;9
HACI ÖMER TARMAN ANADOLU LİSESİ;3
MEHMET AKİF ERSOY KIZ ANADOLU İMAM HATİP LİSESİ;2
NEZİHE HASAN KILIÇ ANADOLU LİSESİ;1
ÖZEL BOĞAZİÇİ ANADOLU LİSESİ;2
ÖZEL NAZMİ ARIKAN FEN BİLİMLERİ BAHÇELİEVLER ANADOLU LİSESİ;1
YALOVA NECMETTİN ERBAKAN SOSYAL BİLİMLER LİSESİ;2
ADANA TİCARET ODASI ANADOLU LİSESİ;2
BORNOVA ANADOLU LİSESİ;11
CAHİT ELGİNKAN ANADOLU LİSESİ;1
DURSUN ALİ KURT ANADOLU İMAM HATİP LİSESİ;1
KARTAL ANADOLU İMAM HATİP LİSESİ;2
ERDEM BEYAZIT ANADOLU LİSESİ;1
İ.T.Ü. GELİŞTİRME VAKFI ÖZEL İZMİR ANADOLU LİSESİ;1
LEVENT AYDIN ANADOLU LİSESİ;1
MANİSA SOSYAL BİLİMLER LİSESİ;1
ÖZEL ADANA ANADOLU LİSESİ;3
ÖZEL ANKA BİLİM ANADOLU LİSESİ;3
ÖZEL ANKARA FİNAL ANADOLU LİSESİ;3
ÖZEL ANTALYA MAYA ANADOLU LİSESİ;2
ABİDİN NESİMİ FATİNOĞLU ANADOLU LİSESİ;1
ÖZEL BEYLİKDÜZÜ CEBİRSEL EĞİTİM VE RASYONEL NİTELİK;1
ÖZEL ÇANKAYA YILDIZ FEN LİSESİ;1
ÖZEL ÇAYYOLU DOĞA ANADOLU LİSESİ;3
ÖZEL FIRAT İLHAN ANADOLU LİSESİ;8
ÖZEL KÜÇÜK PRENS LİSESİ;1
ÖZEL TEMA ANADOLU LİSESİ;3
ŞEHİT HAYDAR ÇETİN ANADOLU LİSESİ;1
ADAPAZARI ÖZEL ENKA ANADOLU LİSESİ;2
ANITTEPE ANADOLU LİSESİ;1
ANTALYA LİSESİ;1
BAHÇELİEVLER DENEME ANADOLU LİSESİ;1
ÇANAKKALE ANADOLU İMAM HATİP LİSESİ;1
DÜZCE ARSAL ANADOLU LİSESİ;1
KARŞIYAKA CİHAT KORA ANADOLU LİSESİ;1
NUH MEHMET BALDÖKTÜ ANADOLU LİSESİ;3
ÖZEL YENİ ORTADOĞU FEN LİSESİ;3
ÖZEL YÜCE KOLEJİ;6
ŞEHİT DOĞUKAN TAZEGÜL ANADOLU LİSESİ;2
ATATÜRK ÜNİVERSİTESİ SÜHEYLA SITKI ALP ÖZEL ANADOLU LİSESİ;1
BURSA ANADOLU LİSESİ;6
ÖZEJDER SOSYAL BİLİMLER LİSESİ;1
ÖZEL BALIKESİR UĞUR ANADOLU LİSESİ;1
ÖZEL NAKKAŞTEPE BAHÇEŞEHİR KOLEJİ 50. YIL FEN VE TEKNOLOJİ LİSESİ;1
ATATÜRK ANADOLU İMAM HATİP LİSESİ;1
KAPAKLI ANADOLU LİSESİ;1
ÖZEL ÇAĞDAŞ FEN AKADEMİK ANADOLU LİSESİ;1
ÖZLÜCE ŞEHİT AYKUT YURTSEVER ANADOLU LİSESİ;1
ESKİŞEHİR ANADOLU LİSESİ;2
ÖZEL İNCİRLİOVA BAHÇEŞEHİR ANADOLU LİSESİ;1
ADAPAZARI ÖZEL ŞAHİN ANADOLU LİSESİ;2
ÖZEL ORDU DOĞA FEN LİSESİ;1
BAŞKENT ÜNİVERSİTESİ ÖZEL AYŞEABLA FEN LİSESİ;4
BELEDİYE FEN LİSESİ;1
BOLU FEN LİSESİ;5
ÖZEL BOĞAZİÇİ ŞEHİR FEN LİSESİ;1
ÖZEL KANGURU FEN LİSESİ;1
ÖZEL KUMLUCA SINAV FEN LİSESİ;1
REKABET KURUMU CUMHURİYET FEN LİSESİ;1
SÜMER FEN LİSESİ;4
ŞANLIURFA FEN LİSESİ;2
TERME FEN LİSESİ;1
TRABZON MERKEZ FEN LİSESİ;1
YILMAZ KAYALAR FEN LİSESİ;1
AYDIN FEN LİSESİ;5
AYTEN KEMAL AKINAL ANADOLU LİSESİ;1
BUCA İNCİ-ÖZER TIRNAKLI FEN LİSESİ;1
HABİRE YAHŞİ ANADOLU LİSESİ;2
KOZAN FEN LİSESİ;1
MAHMUT SAMİ RAMAZANOĞLU ANADOLU İMAM HATİP LİSESİ;1
ÖZEL SANCAKTEPE BATI FEN BİLİMLERİ ANADOLU LİSESİ;1
ÖZEL YENİ YOL ANADOLU LİSESİ;5
SESİM SARPKAYA FEN LİSESİ;2
ŞEHREMİNİ ANADOLU LİSESİ;1
BAHÇELİEVLER ANADOLU LİSESİ;1
TED ÖZEL ATAKENT ANADOLU LİSESİ;1
ÖZEL ATAŞEHİR OKYANUS FEN LİSESİ;1
ÖZEL BİLFEN İSKENDERUN FEN LİSESİ;1
ÖZEL İTALYAN LİSESİ;1
ÖZEL YEDİ RENKLİ ÇINAR FEN LİSESİ;1
ÖZEL ANKARA MAYA ANADOLU LİSESİ;6
ÖZEL ANKARA UĞUR ANADOLU LİSESİ;7
ÖZEL ANKARA YÜKSELİŞ KOLEJİ ANADOLU LİSESİ;1
ÖZEL ÇAĞLAYAN KIZ ANADOLU LİSESİ;2
ÖZEL ETİMESGUT BİREY ANADOLU LİSESİ;3
ÖZEL GÖYMEN ANADOLU LİSESİ;1
ÖZEL KARTAL BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ;1
ÖZEL MOD ERYAMAN ANADOLU LİSESİ;1
ÖZEL RASİM ŞAHİNKAYA ANADOLU LİSESİ;4
ÖZEL TAN ANADOLU LİSESİ;2
ATAKUM ANADOLU İMAM HATİP LİSESİ;4
BALIKESİR MUHARREM HASBİ ANADOLU LİSESİ;1
DOLAPOĞLU ANADOLU LİSESİ;2
ODTÜ GELİŞTİRME VAKFI ÖZEL DENİZLİ ANADOLU LİSESİ;4
ÖZEL ANKARA AÇILIM KOLEJİ ANADOLU LİSESİ;2
TAKUM ANADOLU İMAM HATİP LİSESİ;1
HOPA ATATÜRK ANADOLU LİSESİ;1
MEV KOLEJİ ÖZEL ANKARA ANADOLU LİSESİ;7
ÖZEL AKSARAY VİZYON AKADEMİ ANADOLU LİSESİ;1
ÖZEL ÇİĞLİ FEN BİLİMLERİ ANADOLU LİSESİ;3
ÖZEL ANTALYA KOLEJİ MURATPAŞA ANADOLU LİSESİ;7
ÖZEL BİLFEN ANTALYA ANADOLU LİSESİ;1
ANKARA ÜNİVERSİTESİ GELİŞTİRME VAKFI OKULLARI ÖZEL ANADOLU LİSESİ;16
ÖZEL GÜLEÇ ABC FEN LİSESİ;1
ÖZEL SİVAS BAHÇEŞEHİR FEN LİSESİ;1
SINAV KOLEJİ ÖZEL ANKARA ANADOLU LİSESİ;11
DÖRTYOL FEN LİSESİ;1
GİRESUN FEN LİSESİ;2
KABATAŞ ERKEK LİSESİ;1
ÖZEL SAMSUN BAHÇEŞEHİR KOLEJİ ATAKUM ANADOLU LİSESİ;2
TOBB OSMANİYE FEN LİSESİ;4
ADIYAMAN FEN LİSESİ;1
ANKARA LİSESİ;5
AYDINLIKEVLER ANADOLU LİSESİ;1
MARDİN BORSA İSTANBUL SOSYAL BİLİMLER LİSESİ;1
OSMAN GAZİ FEN LİSESİ;1
ÖZEL ANKARA AÇI KOLEJİ ANADOLU LİSESİ;4
ÖZEL ARTI DESTEK ANADOLU LİSESİ;6
ÖZEL ARYA ANADOLU LİSESİ;2
AFYON LİSESİ;2
ÖZEL BAHÇEŞEHİR ANADOLU LİSESİ;2
ÖZEL BAHÇEŞEHİR KOLEJİ DR. BURHAN KARA ANADOLU LİSESİ;3
ÖZEL BAŞKENT ÖRNEK ANADOLU LİSESİ;1
ÖZEL BATIKENT BİL KOLEJİ ANADOLU LİSESİ;2
ÖZEL BİLFEN ÇAYYOLU ANADOLU LİSESİ;15
ÖZEL BURHANİYE UĞUR ANADOLU LİSESİ;1
ÖZEL DENGE EĞİTİM BİLSAN ANADOLU LİSESİ;6
ÖZEL DÜZCE BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ;2
ÖZEL EGE LİSESİ;3
